"","location","city","country","utc","local","parameter","value","unit","latitude","longitude","attribution","fyh","fecha","horas","dias","meses"
"16","BAR-PDLA - Parque de las Aguas","Medellin","CO","2019-09-09T14:00:00.000Z","2019-09-09T09:00:00-05:00","o3",0.0105,"ppm",6.4067135,-75.419487,"[{""url"":""https://siata.gov.co/"",""name"":""Sistema de Alerta Temprana de Medellín y el Valle de Aburrá - SIATA""}]",2019-09-09 14:00:00,2019-09-09,14,9,9
"17","BAR-PDLA - Parque de las Aguas","Medellin","CO","2019-09-09T13:00:00.000Z","2019-09-09T08:00:00-05:00","o3",0.0032,"ppm",6.4067135,-75.419487,"[{""url"":""https://siata.gov.co/"",""name"":""Sistema de Alerta Temprana de Medellín y el Valle de Aburrá - SIATA""}]",2019-09-09 13:00:00,2019-09-09,13,9,9
"18","BAR-PDLA - Parque de las Aguas","Medellin","CO","2019-09-09T12:00:00.000Z","2019-09-09T07:00:00-05:00","o3",9e-04,"ppm",6.4067135,-75.419487,"[{""url"":""https://siata.gov.co/"",""name"":""Sistema de Alerta Temprana de Medellín y el Valle de Aburrá - SIATA""}]",2019-09-09 12:00:00,2019-09-09,12,9,9
"19","BAR-PDLA - Parque de las Aguas","Medellin","CO","2019-09-09T11:00:00.000Z","2019-09-09T06:00:00-05:00","o3",3e-04,"ppm",6.4067135,-75.419487,"[{""url"":""https://siata.gov.co/"",""name"":""Sistema de Alerta Temprana de Medellín y el Valle de Aburrá - SIATA""}]",2019-09-09 11:00:00,2019-09-09,11,9,9
"20","BAR-PDLA - Parque de las Aguas","Medellin","CO","2019-09-09T10:00:00.000Z","2019-09-09T05:00:00-05:00","o3",0,"ppm",6.4067135,-75.419487,"[{""url"":""https://siata.gov.co/"",""name"":""Sistema de Alerta Temprana de Medellín y el Valle de Aburrá - SIATA""}]",2019-09-09 10:00:00,2019-09-09,10,9,9
"21","BAR-PDLA - Parque de las Aguas","Medellin","CO","2019-09-09T09:00:00.000Z","2019-09-09T04:00:00-05:00","o3",0.0016,"ppm",6.4067135,-75.419487,"[{""url"":""https://siata.gov.co/"",""name"":""Sistema de Alerta Temprana de Medellín y el Valle de Aburrá - SIATA""}]",2019-09-09 09:00:00,2019-09-09,9,9,9
"22","BAR-PDLA - Parque de las Aguas","Medellin","CO","2019-09-09T08:00:00.000Z","2019-09-09T03:00:00-05:00","o3",0.0011,"ppm",6.4067135,-75.419487,"[{""url"":""https://siata.gov.co/"",""name"":""Sistema de Alerta Temprana de Medellín y el Valle de Aburrá - SIATA""}]",2019-09-09 08:00:00,2019-09-09,8,9,9
"23","BAR-PDLA - Parque de las Aguas","Medellin","CO","2019-09-09T07:00:00.000Z","2019-09-09T02:00:00-05:00","o3",8e-04,"ppm",6.4067135,-75.419487,"[{""url"":""https://siata.gov.co/"",""name"":""Sistema de Alerta Temprana de Medellín y el Valle de Aburrá - SIATA""}]",2019-09-09 07:00:00,2019-09-09,7,9,9
"24","BAR-PDLA - Parque de las Aguas","Medellin","CO","2019-09-09T06:00:00.000Z","2019-09-09T01:00:00-05:00","o3",0.0024,"ppm",6.4067135,-75.419487,"[{""url"":""https://siata.gov.co/"",""name"":""Sistema de Alerta Temprana de Medellín y el Valle de Aburrá - SIATA""}]",2019-09-09 06:00:00,2019-09-09,6,9,9
"25","BAR-PDLA - Parque de las Aguas","Medellin","CO","2019-09-09T05:00:00.000Z","2019-09-09T00:00:00-05:00","o3",0.0014,"ppm",6.4067135,-75.419487,"[{""url"":""https://siata.gov.co/"",""name"":""Sistema de Alerta Temprana de Medellín y el Valle de Aburrá - SIATA""}]",2019-09-09 05:00:00,2019-09-09,5,9,9
"26","BAR-PDLA - Parque de las Aguas","Medellin","CO","2019-09-09T04:00:00.000Z","2019-09-08T23:00:00-05:00","o3",0.0056,"ppm",6.4067135,-75.419487,"[{""url"":""https://siata.gov.co/"",""name"":""Sistema de Alerta Temprana de Medellín y el Valle de Aburrá - SIATA""}]",2019-09-09 04:00:00,2019-09-09,4,9,9
"27","BAR-PDLA - Parque de las Aguas","Medellin","CO","2019-09-09T03:00:00.000Z","2019-09-08T22:00:00-05:00","o3",0.0088,"ppm",6.4067135,-75.419487,"[{""url"":""https://siata.gov.co/"",""name"":""Sistema de Alerta Temprana de Medellín y el Valle de Aburrá - SIATA""}]",2019-09-09 03:00:00,2019-09-09,3,9,9
"28","BAR-PDLA - Parque de las Aguas","Medellin","CO","2019-09-09T02:00:00.000Z","2019-09-08T21:00:00-05:00","o3",0.0076,"ppm",6.4067135,-75.419487,"[{""url"":""https://siata.gov.co/"",""name"":""Sistema de Alerta Temprana de Medellín y el Valle de Aburrá - SIATA""}]",2019-09-09 02:00:00,2019-09-09,2,9,9
"29","BAR-PDLA - Parque de las Aguas","Medellin","CO","2019-09-09T01:00:00.000Z","2019-09-08T20:00:00-05:00","o3",0.0102,"ppm",6.4067135,-75.419487,"[{""url"":""https://siata.gov.co/"",""name"":""Sistema de Alerta Temprana de Medellín y el Valle de Aburrá - SIATA""}]",2019-09-09 01:00:00,2019-09-09,1,9,9
